"","name","itemLevel","upgradeLvl","bind","hand","type","damageLow","damageHigh","speed","dps","orOption","agility","critStrike","haste","intellect","mastery","stamina","strength","versatility","durability","reqLvl","sellPriceGold","sellPriceSilver","sellPriceCopper","side","expansion","patchNum"
"882","Blackblade of Shahram","60",NA,"Binds when picked up","Two-Hand","Sword","88","147","3.60","32.69",NA,NA,NA,NA,NA,NA,NA,NA,NA,"120",55,"8","22","73",NA,"Classic","1.11.1"
"883","Doombringer","60",NA,"Binds when equipped","Two-Hand","Sword","77","130","3.60","28.89",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",55,"5","91","86",NA,"Classic","1.11.1"
"884","Relentless Scythe","60",NA,"Binds when picked up","Two-Hand","Sword","77","130","3.60","28.89",NA,NA,"12",NA,NA,NA,"24","16","9","100",55,"6","30","72",NA,"Classic","1.11.1"
"885","Massacre Sword","60",NA,"Binds when picked up","Two-Hand","Sword","77","130","3.60","28.89",NA,NA,NA,"20",NA,NA,NA,"19",NA,"100",55,NA,NA,"31",NA,"Wrath of the Lich King","3.0.1"
"886","Trindlehaven Staff","60",NA,"Binds when picked up","Two-Hand","Staff","88","120","3.60","28.94",NA,NA,NA,"12","16",NA,"24",NA,"9","100",55,"6","26","19",NA,"Classic","1.11.1"
"887","Amethyst War Staff","60",NA,"Binds when picked up","Two-Hand","Staff","88","120","3.60","28.94",NA,NA,NA,NA,"26",NA,"13",NA,NA,NA,55,"6","1","75",NA,"Classic","1.11.1"
"888","Lord Valthalak's Staff of Command","60",NA,"Binds when picked up","Two-Hand","Staff","88","120","3.60","28.94",NA,NA,"13",NA,"20",NA,"13",NA,NA,"100",55,"6","15","49",NA,"Classic","1.11.1"
"889","Staff of Balzaphon","60",NA,"Binds when picked up","Two-Hand","Staff","88","120","3.60","28.94",NA,NA,"12",NA,"22",NA,"15",NA,"6","100",55,"6","10","95",NA,"Classic","1.11.1"
"890","Solstice Staff","60",NA,"Binds when equipped","Two-Hand","Staff","76","104","3.60","25.08",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85",55,"5","2","86",NA,"Classic","1.11.1"
"891","Hurd Smasher","60",NA,"Binds when picked up","One-Hand","Fist Weapon","48","69","2.60","22.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,"65",55,"5","8","51",NA,"Classic","1.11.1"
"892","Felstriker","60",NA,"Binds when picked up","One-Hand","Dagger","34","57","1.80","25.37",NA,NA,NA,NA,NA,NA,NA,NA,NA,"80",55,"6","53","27",NA,"Classic","1.11.1"
"893","Keris of Zul'Serak","60",NA,"Binds when picked up","One-Hand","Dagger","30","50","1.80","22.30",NA,"7",NA,NA,NA,NA,"10",NA,NA,"65",55,"5","11","99",NA,"Classic","1.11.1"
"894","Finkle's Skinner","60",NA,"Binds when picked up","One-Hand","Dagger","30","50","1.80","22.30",NA,"9",NA,"9",NA,NA,NA,NA,NA,"65",55,"5",NA,"95",NA,"Classic","1.11.1"
"895","Fang of the Crystal Spider","60",NA,"Binds when picked up","One-Hand","Dagger","30","50","1.80","22.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,"65",55,"5","8","46",NA,"Classic","1.11.1"
"896","Crystal Tipped Stiletto","60",NA,"Binds when picked up","One-Hand","Dagger","30","50","1.80","22.30",NA,"7",NA,NA,NA,NA,"4",NA,NA,NA,55,"4","86","87",NA,"Classic","1.11.1"
"897","Flightblade Throwing Axe","60",NA,"Binds when picked up","Thrown","Thrown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65",55,NA,"23","50",NA,"The Burning Crusade","2.1.0"
"898","Riphook","60",NA,"Binds when picked up","Ranged","Bow","73","100","3.00","28.94",NA,"16","12","9",NA,NA,"24",NA,NA,"100",55,"6","35","57",NA,"Classic","1.11.1"
"899","Blackcrow","60",NA,"Binds when picked up","Ranged","Crossbow","69","104","3.00","28.89",NA,"16","13","8",NA,NA,"24",NA,NA,"100",55,"6","30","97",NA,"Classic","1.11.1"
"900","Serpentine Skuller","60",NA,"Binds when picked up","Ranged","Wand","16","28","2.00","11.21",NA,NA,"9",NA,"9",NA,NA,NA,NA,"90",55,"6",NA,"94",NA,"Classic","1.11.1"
"901","Dragon Finger","60",NA,"Binds when equipped","Ranged","Wand","14","24","2.00","9.65",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",55,"5","10","47",NA,"Classic","1.11.1"
"902","The Blackrock Slicer","60",NA,"Binds when picked up","Two-Hand","Axe","67","140","3.60","28.83",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",55,"6","5","54",NA,"Classic","1.11.1"
"903","Rivenspike","60",NA,"Binds when picked up","One-Hand","Axe","37","79","2.60","22.49",NA,NA,NA,NA,NA,NA,NA,NA,NA,"90",55,"4","86","27",NA,"Classic","1.11.1"
"904","Demonfork","60",NA,"Binds when picked up","One-Hand","Axe","37","79","2.60","22.49",NA,NA,NA,NA,NA,NA,NA,NA,NA,"90",55,"4","73","39",NA,"Classic","1.11.1"
"905","Baron Charr's Sceptre","59",NA,"Binds when equipped","One-Hand","Mace","50","64","2.60","21.94",NA,NA,NA,NA,NA,NA,NA,"5",NA,"90",54,"4","77","47",NA,"Classic","1.11.1"
"906","Massacre Sword","59",NA,"Binds when equipped","Two-Hand","Sword","66","111","3.60","24.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85",54,"4","75","31",NA,"Classic","1.11.1"
"907","Razor Axe","59",NA,"Binds when equipped","Two-Hand","Axe","57","119","3.60","24.51",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85",54,"5","17","40",NA,"Classic","1.11.1"
"908","Balanced War Axe","59",NA,NA,"Two-Hand","Axe","34","72","3.60","14.79",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85",54,"1","98","80",NA,"Classic","1.11.1"
"909","Dimensional Blade","59",NA,"Binds when equipped","One-Hand","Sword","37","62","2.60","19.08",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",54,"4","13","76",NA,"Classic","1.11.1"
"910","Volcanic Hammer","58",NA,"Binds when equipped","One-Hand","Mace","42","55","2.60","18.77",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",53,"3","92","56",NA,"Classic","1.11.1"
"911","Painbringer","58",NA,"Binds when equipped","Two-Hand","Mace","75","98","3.60","24.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85",53,"4","68","23",NA,"Classic","1.11.1"
"912","Corruption","58",NA,"Binds when picked up","Two-Hand","Sword","75","126","3.60","27.98",NA,NA,NA,NA,NA,NA,"26","26",NA,"100",53,"5","68","8",NA,"Classic","1.11.1"
"913","Tapered Greatsword","58",NA,NA,"Two-Hand","Sword","39","65","3.60","14.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85",53,"1","87","97",NA,"Classic","1.11.1"
"914","Magus Long Staff","58",NA,"Binds when equipped","Two-Hand","Staff","73","100","3.60","24.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85",53,"4","52","63",NA,"Classic","1.11.1"
"915","Torch of Austen","58",NA,"Binds when equipped","Ranged","Wand","16","27","2.00","10.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,"90",53,"5","59","85",NA,"Classic","1.11.1"
"916","Shell Launcher Shotgun","58",NA,"Binds when equipped","Ranged","Gun","58","109","3.00","27.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",53,"5","78","40",NA,"Classic","1.11.1"
"917","Twig of the World Tree","58",NA,"Binds when equipped","Two-Hand","Mace","88","113","3.60","27.92",NA,NA,NA,"11",NA,NA,"18","12",NA,"100",53,"5","65","88",NA,"Classic","1.11.1"
"918","Dwarven Hand Cannon","58",NA,"Binds when equipped","Ranged","Gun","66","124","3.00","31.79",NA,NA,NA,NA,NA,NA,NA,NA,NA,"120",53,"7","50","68",NA,"Classic","1.11.1"
"919","Warlord's Axe","58",NA,"Binds when equipped","One-Hand","Axe","31","66","2.60","18.78",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",53,"3","64","96",NA,"Classic","1.11.1"
"920","Serenity","57",NA,"Binds when equipped","One-Hand","Mace","46","59","2.60","20.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"90",52,"4","27","21",NA,"Classic","1.11.1"
"921","Axe of the Deep Woods","57",NA,"Binds when equipped","One-Hand","Axe","37","78","2.60","22.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,"110",52,"5","41","24",NA,"Classic","1.11.1"
"922","Assassination Blade","57",NA,"Binds when equipped","One-Hand","Sword","39","66","2.60","20.31",NA,NA,"12",NA,NA,NA,NA,"3",NA,"90",52,"4","9","88",NA,"Classic","1.11.1"
"923","Crystal Sword","57",NA,"Binds when equipped","One-Hand","Sword","35","60","2.60","18.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",52,"3","70","48",NA,"Classic","1.11.1"
"924","Destiny","57",NA,"Binds when equipped","Two-Hand","Sword","77","129","3.60","28.71",NA,NA,NA,NA,NA,NA,NA,NA,NA,"120",52,"7",NA,"24",NA,"Classic","1.11.1"
"925","Demonslayer","57",NA,"Binds when equipped","Two-Hand","Sword","70","118","3.60","26.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",52,"5","28",NA,NA,"Classic","1.11.1"
"926","Ta'Kierthan Songblade","57",NA,"Binds when equipped","Two-Hand","Sword","70","118","3.60","26.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",52,"5","35","98",NA,"Classic","1.11.1"
"927","Gallant Flamberge","57",NA,"Binds when equipped","Two-Hand","Sword","63","106","3.60","23.58",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85",52,"4","25","45",NA,"Classic","1.11.1"
"928","The Shadowfoot Stabber","57",NA,"Binds when equipped","One-Hand","Dagger","27","46","1.80","20.40",NA,"6",NA,NA,NA,NA,"7",NA,NA,"65",52,"4","42","10",NA,"Classic","1.11.1"
"929","Glowstar Rod","57",NA,"Binds when equipped","Ranged","Wand","13","23","2.00","9.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",52,"4","35","16",NA,"Classic","1.11.1"
"930","Dark Iron Sunderer","57",NA,"Binds when equipped","Two-Hand","Axe","61","127","3.60","26.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",52,"5","12","25",NA,"Classic","1.11.1"
"931","Primed Musket","57",NA,NA,"Ranged","Gun","29","55","3.00","14.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85",52,"1","69","47",NA,"Classic","1.11.1"
"932","Bulky Maul","57",NA,NA,"Two-Hand","Mace","44","57","3.60","14.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85",52,"1","79","93",NA,"Classic","1.11.1"
"933","Brann's Trusty Pick","56",NA,"Binds when picked up","One-Hand","Axe","30","63","2.60","17.98",NA,NA,NA,NA,NA,NA,NA,"10",NA,"75",54,"3","43","65",NA,"Classic","1.11.1"
"934","Jagged Axe","56",NA,NA,"Main Hand","Axe","18","38","2.60","10.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",51,"1","34","31",NA,"Classic","1.11.1"
"935","Angerforge's Battle Axe","56",NA,"Binds when picked up","Two-Hand","Axe","60","125","3.60","25.72",NA,NA,"7",NA,NA,NA,"22","15","12","100",51,"4","88","82",NA,"Classic","1.11.1"
"936","Dreadforge Retaliator","56",NA,"Binds when picked up","Two-Hand","Axe","60","125","3.60","25.72",NA,NA,"11",NA,NA,NA,"22","15","9","100",51,"4","92","49",NA,"Classic","1.11.1"
"937","Lord Alexander's Battle Axe","56",NA,"Binds when equipped","Two-Hand","Axe","60","125","3.60","25.72",NA,"15",NA,NA,NA,NA,"14","14",NA,"100",51,"4","96","40",NA,"Classic","1.11.1"
"938","Huge Thorium Battleaxe","56",NA,"Binds when equipped","Two-Hand","Axe","54","113","3.60","23.24",NA,NA,NA,"24",NA,NA,NA,NA,NA,"85",51,"3","99","49",NA,"Classic","1.11.1"
"939","Colossal Great Axe","56",NA,"Binds when equipped","Two-Hand","Axe","54","113","3.60","23.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85",51,"4","37","1",NA,"Classic","1.11.1"
"940","Sandstrider's Mark","56",NA,"Binds when picked up","Ranged","Bow","65","89","3.00","25.77",NA,NA,NA,NA,NA,NA,"28",NA,NA,"80",54,"5","7","95",NA,"Classic","1.11.1"
"941","Malgen's Long Bow","56",NA,"Binds when picked up","Ranged","Bow","65","89","3.00","25.77",NA,"21","9",NA,NA,NA,"9",NA,NA,"100",51,"5","2","48",NA,"Classic","1.11.1"
"942","Burnside Rifle","56",NA,"Binds when equipped","Ranged","Gun","48","90","3.00","23.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85",51,"4","26","9",NA,"Classic","1.11.1"
"943","Ironfoe","56",NA,"Binds when picked up","One-Hand","Mace","50","64","2.60","21.93",NA,NA,"5","5",NA,NA,"11",NA,NA,"110",51,"5","9","26",NA,"Classic","1.11.1"
"944","The Hammer of Grace","56",NA,"Binds when picked up","One-Hand","Mace","45","58","2.60","19.90",NA,NA,"4",NA,"6",NA,"9",NA,"5","90",51,"4","11","78",NA,"Classic","1.11.1"
"945","Hurley's Tankard","56",NA,"Binds when picked up","One-Hand","Mace","45","58","2.60","19.90",NA,NA,"5","3",NA,NA,"9",NA,NA,"90",51,"3","91","30",NA,"Classic","1.11.1"
"946","Wraith Scythe","56",NA,"Binds when picked up","One-Hand","Axe","33","70","2.60","19.96",NA,NA,NA,NA,NA,NA,"9",NA,NA,"90",51,"4","7","32",NA,"Classic","1.11.1"
"947","The Judge's Gavel","56",NA,"Binds when equipped","Two-Hand","Mace","81","104","3.60","25.70",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",51,"4","77","63",NA,"Classic","1.11.1"
"948","Enchanted Battlehammer","56",NA,"Binds when equipped","Two-Hand","Mace","81","104","3.60","25.70",NA,NA,"18",NA,NA,NA,NA,NA,NA,"100",51,"4","81","25",NA,"Classic","1.11.1"
"949","Lavastone Hammer","56",NA,"Binds when picked up","Two-Hand","Mace","81","104","3.60","25.70",NA,NA,"7","12",NA,NA,"22","15",NA,"100",51,"5","8",NA,NA,"Classic","1.11.1"
"950","Backbreaker","56",NA,"Binds when equipped","Two-Hand","Mace","73","94","3.60","23.21",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85",51,"4","15","17",NA,"Classic","1.11.1"
"951","Flame Wrath","56",NA,"Binds when picked up","Two-Hand","Polearm","64","120","3.60","25.67",NA,NA,NA,NA,NA,NA,"22","15",NA,"100",51,"5","12","87",NA,"Classic","1.11.1"
"952","Frenzied Striker","56",NA,"Binds when equipped","Two-Hand","Polearm","64","120","3.60","25.67",NA,NA,"18",NA,NA,NA,NA,NA,NA,"100",51,"4","83","30",NA,"Classic","1.11.1"
"953","Krol Blade","56",NA,"Binds when equipped","One-Hand","Sword","42","72","2.60","22.10",NA,NA,"11",NA,NA,NA,"4","5",NA,"110",51,"5","18","58",NA,"Classic","1.11.1"
"954","Arbiter's Blade","56",NA,"Binds when picked up","One-Hand","Sword","38","65","2.60","20.00",NA,NA,"5",NA,"6",NA,"9",NA,"3","90",51,"4","2","98",NA,"Classic","1.11.1"
"955","Lord General's Sword","56",NA,"Binds when picked up","One-Hand","Sword","38","65","2.60","20.00",NA,NA,NA,NA,NA,NA,"9",NA,NA,"90",51,"3","92","54",NA,"Classic","1.11.1"
"956","Doomforged Straightedge","56",NA,"Binds when equipped","One-Hand","Sword","38","65","2.60","20.00",NA,NA,"6",NA,NA,NA,"6","6",NA,"90",51,"3","92","42",NA,"Classic","1.11.1"
"957","Blazing Rapier","56",NA,"Binds when equipped","One-Hand","Sword","38","65","2.60","20.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"90",51,"3","86","48",NA,"Classic","1.11.1"
"958","Stone of the Earth","56",NA,"Binds when picked up","Two-Hand","Sword","69","116","3.60","25.76",NA,NA,NA,"15",NA,NA,"15","15",NA,"100",51,"5","7","40",NA,"Classic","1.11.1"
"959","Guiding Stave of Wisdom","56",NA,"Binds when picked up","Two-Hand","Staff","78","107","3.60","25.79",NA,NA,NA,"8","15",NA,"22",NA,"11","100",51,"4","94","35",NA,"Classic","1.11.1"
"960","Spire of the Stoneshaper","56",NA,"Binds when equipped","Two-Hand","Staff","78","107","3.60","25.79",NA,NA,NA,"15","15",NA,"15",NA,NA,"100",51,"4","85","1",NA,"Classic","1.11.1"
"961","Corrupted Blackwood Staff","56",NA,"Binds when picked up","Two-Hand","Staff","71","96","3.60","23.20",NA,NA,NA,NA,"20",NA,"10",NA,NA,"85",54,"4","31","7",NA,"Classic","1.11.1"
"962","Vilerend Slicer","56",NA,"Binds when equipped","One-Hand","Fist Weapon","42","61","2.60","19.98",NA,NA,NA,NA,NA,NA,NA,NA,NA,"65",51,"4","10","25",NA,"Classic","1.11.1"
"963","Rockfist","56",NA,"Binds when picked up","One-Hand","Fist Weapon","42","61","2.60","19.98",NA,"8","5",NA,NA,NA,"5",NA,NA,NA,51,"3","90","94",NA,"Classic","1.11.1"
"964","Bloodfist","56",NA,"Binds when picked up","One-Hand","Fist Weapon","42","61","2.60","19.98",NA,"6",NA,NA,NA,NA,"9",NA,NA,"65",51,"3","92","42",NA,"Classic","1.11.1"
"965","Lefty's Brass Knuckle","56",NA,"Binds when picked up","One-Hand","Fist Weapon","42","61","2.60","19.98",NA,"8",NA,"5",NA,NA,"5",NA,NA,"65",51,"4",NA,"49",NA,"Classic","1.11.1"
"966","Blood-Etched Blade","56",NA,"Binds when picked up","One-Hand","Dagger","26","45","1.80","20.00",NA,NA,"3",NA,"6",NA,"9",NA,"5","65",51,"4","10","29",NA,"Classic","1.11.1"
"967","Searing Needle","56",NA,"Binds when equipped","One-Hand","Dagger","26","45","1.80","20.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"65",51,"3","86","52",NA,"Classic","1.11.1"
"968","Barman Shanker","56",NA,"Binds when picked up","One-Hand","Dagger","26","45","1.80","20.00",NA,"6",NA,NA,NA,NA,"9",NA,NA,"65",51,"4","17","76",NA,"Classic","1.11.1"
"969","Black Crystal Dagger","56",NA,"Binds when picked up","One-Hand","Dagger","26","45","1.80","20.00",NA,NA,NA,NA,"9",NA,"4",NA,"9","65",54,"4","7","84",NA,"Classic","1.11.1"
"970","Heartseeking Crossbow","56",NA,"Binds when equipped","Ranged","Crossbow","61","93","3.00","25.79",NA,"25",NA,NA,NA,NA,"11",NA,NA,"100",51,"4","90","73",NA,"Classic","1.11.1"
"971","Wand of Eternal Light","56",NA,"Binds when picked up","Ranged","Wand","14","25","2.00","10.00",NA,NA,"6",NA,"6",NA,"6",NA,NA,"65",51,"2","89","20",NA,"Classic","1.11.1"
"972","Ribsplitter","56",NA,"Binds when equipped","One-Hand","Axe","33","70","2.60","19.96",NA,"6","6",NA,NA,NA,"6",NA,NA,"90",51,"4","20","81",NA,"Classic","1.11.1"
"973","Impervious Giant","56",NA,"Binds when picked up","Two-Hand","Mace","81","104","3.60","25.70",NA,NA,"11","9",NA,NA,"22","15",NA,"100",51,"5","11","1",NA,"Classic","1.11.1"
"974","Eater of the Dead","55",NA,"Binds when picked up","One-Hand","Axe","33","69","2.60","19.66",NA,NA,NA,"5",NA,NA,"9",NA,"3","90",50,"3","77","30",NA,"Classic","1.11.1"
"975","Dawn's Edge","55",NA,"Binds when equipped","One-Hand","Axe","33","69","2.60","19.66",NA,NA,"13",NA,NA,NA,NA,NA,NA,"90",50,"3","60","44",NA,"Classic","1.11.1"
"976","Ornate Thorium Handaxe","55",NA,"Binds when picked up","One-Hand","Axe","29","62","2.60","17.68",NA,NA,NA,NA,NA,NA,NA,"10",NA,"75",50,"3","30","80",NA,"Classic","1.11.1"
"977","Corpse Harvester","55",NA,"Binds when equipped","One-Hand","Axe","29","62","2.60","17.68",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",50,"3","5","26",NA,"Classic","1.11.1"
"978","Stinging Bow","55",NA,"Binds when equipped","Ranged","Bow","64","87","3.00","25.26",NA,"12","12",NA,NA,NA,"19",NA,NA,"100",50,"4","80","19",NA,"Classic","1.11.1"
"979","Gryphonwing Long Bow","55",NA,"Binds when equipped","Ranged","Bow","64","87","3.00","25.26",NA,"22",NA,NA,NA,NA,"11",NA,NA,"100",50,"4","66","51",NA,"Classic","1.11.1"
"980","Quillfire Bow","55",NA,"Binds when equipped","Ranged","Bow","58","79","3.00","22.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85",50,"3","78","53",NA,"Classic","1.11.1"
"981","Recurve Long Bow","55",NA,NA,"Ranged","Bow","34","47","3.00","13.65",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85",45,"1","50","26",NA,"Classic","1.11.1"
"982","Dark Iron Rifle","55",NA,"Binds when equipped","Ranged","Gun","53","99","3.00","25.36",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",50,"4","85","87",NA,"Classic","1.11.1"
"983","Fist of the Damned","55",NA,"Binds when picked up","One-Hand","Mace","44","58","2.60","19.76",NA,NA,NA,NA,NA,NA,"9",NA,NA,"90",50,"3","75","89",NA,"Classic","1.11.1"
"984","Might of Hakkar","55",NA,"Binds when picked up","One-Hand","Mace","44","58","2.60","19.76",NA,NA,"4",NA,NA,NA,"9",NA,"4","90",50,"3","67","45",NA,"Classic","1.11.1"
"985","Blesswind Hammer","55",NA,"Binds when equipped","One-Hand","Mace","40","52","2.60","17.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",50,"3","19","24",NA,"Classic","1.11.1"
"986","Last Year's Mutton","55",NA,NA,"One-Hand","Mace","38","50","2.60","17.08",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",50,"1","93","76",NA,"Classic","1.11.1"
"987","Ragehammer","55",NA,"Binds when equipped","Two-Hand","Mace","79","102","3.60","25.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",50,"4","96","20",NA,"Classic","1.11.1"
"988","Dark Iron Pulverizer","55",NA,"Binds when equipped","Two-Hand","Mace","79","102","3.60","25.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",50,"4","57","60",NA,"Classic","1.11.1"
"989","Headspike","55",NA,"Binds when picked up","Two-Hand","Polearm","63","118","3.60","25.25",NA,"15","15",NA,NA,NA,"15",NA,NA,"100",50,"4","96","1",NA,"Classic","1.11.1"
"990","Smoldering Claw","55",NA,"Binds when picked up","Two-Hand","Polearm","63","118","3.60","25.25",NA,NA,NA,NA,NA,NA,"22","15",NA,"100",50,"4","87","39",NA,"Classic","1.11.1"
"991","Dragon's Call","55",NA,"Binds when picked up","One-Hand","Sword","42","70","2.60","21.58",NA,NA,"5","5",NA,NA,"11",NA,NA,"110",50,"5","6","60",NA,"Classic","1.11.1"
"992","Hanzo Sword","55",NA,"Binds when equipped","One-Hand","Sword","38","64","2.60","19.68",NA,NA,NA,NA,NA,NA,NA,NA,NA,"90",50,"3","72","86",NA,"Classic","1.11.1"
"993","Firebreather","55",NA,"Binds when picked up","One-Hand","Sword","38","64","2.60","19.68",NA,NA,NA,NA,NA,NA,"9",NA,NA,"90",50,"3","94","4",NA,"Classic","1.11.1"
"994","Blade of the Wretched","55",NA,"Binds when picked up","One-Hand","Sword","38","64","2.60","19.68",NA,NA,NA,NA,NA,NA,"9",NA,NA,"90",50,"3","74","49",NA,"Classic","1.11.1"
"995","Sword of Northshire","55",NA,"Binds when picked up","One-Hand","Sword","38","64","2.60","19.68",NA,NA,NA,"6",NA,NA,"6","6",NA,"90",51,"3","83","62",NA,"Cataclysm","4.0.3"
"996","Deathblow","55",NA,"Binds when equipped","Two-Hand","Sword","68","114","3.60","25.32",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",50,"4","52","30",NA,"Classic","1.11.1"
"997","Drakefang Butcher","55",NA,"Binds when picked up","Two-Hand","Sword","68","114","3.60","25.32",NA,NA,NA,NA,NA,NA,"22","15",NA,"100",50,"4","76","92",NA,"Classic","1.11.1"
"998","Bludgeon of the Grinning Dog","55",NA,"Binds when equipped","Two-Hand","Staff","77","105","3.60","25.34",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",50,"4","50","55",NA,"Classic","1.11.1"
"999","Spire of Hakkar","55",NA,"Binds when picked up","Two-Hand","Staff","77","105","3.60","25.34",NA,"15",NA,"11",NA,NA,"22",NA,"8","100",50,"4","69","73",NA,"Classic","1.11.1"
"1000","Umbranse's Staff","55",NA,"Binds when picked up","Two-Hand","Staff","77","105","3.60","25.34",NA,NA,"12",NA,"12",NA,"19",NA,NA,"100",53,"4","52","44",NA,"Cataclysm","4.0.3"
"1001","Tooth of Eranikus","55",NA,"Binds when picked up","One-Hand","Axe","33","69","2.60","19.66",NA,NA,"4","5",NA,NA,"9",NA,NA,"90",50,"3","66","4",NA,"Classic","1.11.1"
"1002","Handwraps of Pilgrimage","55",NA,"Binds when picked up","One-Hand","Fist Weapon","37","54","2.60","17.69",NA,"5","4","4",NA,NA,"8",NA,NA,"55",50,"3","7","21",NA,"Mists of Pandaria","5.0.3"
"1003","Julie's Dagger","55",NA,"Binds when equipped","One-Hand","Dagger","26","44","1.80","19.60",NA,NA,NA,NA,NA,NA,NA,NA,NA,"65",50,"3","61","57",NA,"Classic","1.11.1"
"1004","Stealthblade","55",NA,"Binds when equipped","One-Hand","Dagger","26","44","1.80","19.60",NA,NA,NA,NA,NA,NA,NA,NA,NA,"65",50,"3","95","55",NA,"Classic","1.11.1"
"1005","Dire Nail","55",NA,"Binds when picked up","One-Hand","Dagger","26","44","1.80","19.60",NA,"6","3","5",NA,NA,"9",NA,NA,"65",50,"3","81","39",NA,"Classic","1.11.1"
"1006","Jagged Throwing Axe","55",NA,NA,"Thrown","Thrown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55",50,NA,"2",NA,NA,"The Burning Crusade","2.0.1"
"1007","Blacksteel Throwing Dagger","55",NA,NA,"Thrown","Thrown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55",50,NA,"2",NA,NA,"The Burning Crusade","2.0.1"
"1008","Rod of Corrosion","55",NA,"Binds when picked up","Ranged","Wand","14","25","2.00","9.94",NA,NA,"5","3","6",NA,"9",NA,NA,"65",50,"4","55","81",NA,"Classic","1.11.1"
"1009","Winter's Bite","55",NA,"Binds when equipped","One-Hand","Axe","33","69","2.60","19.66",NA,NA,NA,NA,NA,NA,NA,NA,NA,"90",50,"3","82","75",NA,"Classic","1.11.1"
"1010","Staff of Pilgrimage","55",NA,"Binds when picked up","Two-Hand","Staff","34","47","3.60","11.37",NA,NA,"8",NA,"81",NA,"19",NA,"8","85",50,"4","10","42",NA,"Mists of Pandaria","5.0.3"
"1011","Greataxe of Stonard","54",NA,"Binds when picked up","Two-Hand","Axe","52","109","3.60","22.41",NA,NA,NA,"12",NA,NA,"12","12",NA,"85",52,"3","63","92","Horde","Cataclysm","4.0.3"
"1012","Viking Warhammer","54",NA,"Binds when equipped","One-Hand","Mace","43","57","2.60","19.42",NA,NA,NA,NA,NA,NA,"10","5",NA,"90",49,"3","58","15",NA,"Classic","1.11.1"
"1013","Ogre Tapper","54",NA,"Binds when picked up","One-Hand","Mace","39","51","2.60","17.42",NA,"5","4",NA,NA,NA,"7",NA,NA,"75",52,"2","88","78","Alliance","Cataclysm","4.0.3"
"1014","Knight Tapper","54",NA,"Binds when picked up","One-Hand","Mace","39","51","2.60","17.42",NA,"5","4",NA,NA,NA,"7",NA,NA,"75",52,"3","8","68","Horde","Cataclysm","4.0.3"
"1015","Clout Mace","54",NA,NA,"Main Hand","Mace","23","31","2.60","10.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",49,"1","20","42",NA,"Classic","1.11.1"
